Location_Info,Latitude,Longitude,Date,WL(mbgl)
August month Depth to Water Level (In mbgl) Data of Unconfined Aquifer STATE_UT DISTRICT BLOCK VILLAGE_NA LATITUDE LONGITUDE Date WL(mbgl) Madhya Pradesh Jabalpur Shahpura Bheraghat,23.14417,79.80278,31-08-15,6.7
Madhya Pradesh Jabalpur Shahpura Shahpura,23.13833,79.66528,31-08-15,3.1
Madhya Pradesh Jabalpur Sihora Kachupura,23.39917,80.06472,31-08-15,3.1
Madhya Pradesh Jabalpur Sihora Sihora,23.48333,80.10833,31-08-15,12.8
Madhya Pradesh Jhabua Jhabua Jhabua,22.76250,74.58806,31-08-15,2.1
Madhya Pradesh Jhabua Jhabua Jhabua,22.77111,74.59000,31-08-15,4.4
Madhya Pradesh Jhabua Jhabua Pitol,22.78500,74.46556,31-08-15,3.0
Madhya Pradesh Jhabua Meghnagar Meghnagar,22.90500,74.54222,31-08-15,1.8
Madhya Pradesh Jhabua Petlawad Bamania,23.08861,74.76139,31-08-15,4.5
Madhya Pradesh Jhabua Petlawad Karwar,23.10111,74.87028,31-08-15,4.0
Madhya Pradesh Jhabua Petlawad Petlabad,23.00528,74.79889,31-08-15,1.5
Madhya Pradesh Jhabua Petlawad Petlawad,23.00361,74.79889,31-08-15,0.8
Madhya Pradesh Jhabua Petlawad Sarangi,23.05167,74.90833,31-08-15,1.8
Madhya Pradesh Jhabua Ranapur Ranapur,22.63944,74.52250,31-08-15,2.8
Madhya Pradesh Jhabua Ranapur Tikadimoti,22.69444,74.54222,31-08-15,0.6
Madhya Pradesh Jhabua Thandla Thandla,23.00806,74.57889,31-08-15,3.1
Madhya Pradesh Katni Badwara Badwara,23.74861,80.57694,31-08-15,9.7
Madhya Pradesh Katni Badwara Basadi,23.82694,80.62167,31-08-15,8.5
Madhya Pradesh Katni Badwara Kewlari,23.79722,80.83000,31-08-15,7.2
Madhya Pradesh Katni Badwara Khitoli,23.71056,80.83194,31-08-15,4.1
Madhya Pradesh Katni Dheemerkheda Siloni,23.34583,80.37778,31-08-15,5.4
Madhya Pradesh Katni Dheemerkheda Sleemanabad,23.61250,80.28667,31-08-15,5.0
Madhya Pradesh Katni Dheemerkheda Umariapan,23.52167,80.29167,31-08-15,3.9
Madhya Pradesh Katni Katni Katni,23.83056,80.42278,31-08-15,12.6
Madhya Pradesh Katni Katni Katni,23.83056,80.39861,31-08-15,3.1
Madhya Pradesh Katni Katni Lakhapateri,23.70833,80.31722,31-08-15,3.7
Madhya Pradesh Katni Katni Majhgawan,23.82167,80.49861,31-08-15,9.4
Madhya Pradesh Katni Rithi Deogawan,23.90278,80.25139,31-08-15,2.7
Madhya Pradesh Katni Rithi Rithi,23.90944,80.14194,31-08-15,3.1
Madhya Pradesh Katni Vijayraghavgarh Barchheka,23.85056,80.55667,31-08-15,13.4
Madhya Pradesh Katni Vijayraghavgarh Barhi,23.90167,80.81056,31-08-15,10.5
Madhya Pradesh Katni Vijayraghavgarh Piparia,23.86194,80.69861,31-08-15,6.9
Madhya Pradesh Katni Vijayraghavgarh Ubra,23.93611,80.81444,31-08-15,11.3
Madhya Pradesh Khandwa (East Nimar) Chhaigaon Makhan Chhegaonmakhan,21.83194,76.21778,31-08-15,6.3
Madhya Pradesh Khandwa (East Nimar) Chhaigaon Makhan Deshgaon,21.90167,76.17944,31-08-15,3.6
Madhya Pradesh Khandwa (East Nimar) Chhaigaon Makhan Dhangaon,22.08750,76.11833,31-08-15,3.1
Madhya Pradesh Khandwa (East Nimar) Chhaigaon Makhan Kusumbiya,21.68861,76.19778,31-08-15,4.5
Madhya Pradesh Khandwa (East Nimar) Chhaigaon Makhan Pandhana,21.70000,76.22639,31-08-15,2.0
Madhya Pradesh Khandwa (East Nimar) Chhaigaon Makhan Pandhana,21.69889,76.22694,31-08-15,2.7
Madhya Pradesh Khandwa (East Nimar) Chhaigaon Makhan Roshiya,21.95611,76.15611,31-08-15,3.0
Madhya Pradesh Khandwa (East Nimar) Harsud Bedia,21.97028,76.74389,31-08-15,2.8
Madhya Pradesh Khandwa (East Nimar) Harsud Bori Saray,22.00556,76.81667,31-08-15,3.4
