Location_Info,Latitude,Longitude,Date,WL(mbgl)
Depth to Water Level (in mbgl) of unconfind data Pre-Monsoon 1994-2003 STATE_UT DISTRICT BLOCK VILLAGE LATITUDE LONGITUDE Date DTWL Andaman & Nicobar Islands North And Middle Andaman Diglipur Rest Camp,12.83283,92.85931,30-04-03,1.7
Andaman & Nicobar Islands North And Middle Andaman Diglipur Rest Camp,12.83283,92.85931,30-04-01,1.9
Andaman & Nicobar Islands North And Middle Andaman Diglipur Rest Camp,12.83283,92.85931,30-04-00,0.2
Andaman & Nicobar Islands North And Middle Andaman Mayabunder Dhobidera (Mayabunder),12.90992,92.89924,30-04-03,2.9
Andaman & Nicobar Islands North And Middle Andaman Mayabunder Dhobidera (Mayabunder),12.90992,92.89924,30-04-01,3.8
Andaman & Nicobar Islands North And Middle Andaman Mayabunder Dhobidera (Mayabunder),12.90992,92.89924,30-04-00,3.4
Andaman & Nicobar Islands North And Middle Andaman Rangat Bakultala,12.50434,92.85770,30-04-03,0.8
Andaman & Nicobar Islands North And Middle Andaman Rangat Bakultala,12.50434,92.85770,30-04-01,1.0
Andaman & Nicobar Islands North And Middle Andaman Rangat Bakultala,12.50434,92.85770,30-04-00,0.7
Andaman & Nicobar Islands North And Middle Andaman Rangat Kausalyanagar,12.52843,92.81888,30-04-03,1.9
Andaman & Nicobar Islands North And Middle Andaman Rangat Kausalyanagar,12.52843,92.81888,30-04-01,2.0
Andaman & Nicobar Islands North And Middle Andaman Rangat Kausalyanagar,12.52843,92.81888,30-04-00,2.1
Andaman & Nicobar Islands North And Middle Andaman Rangat Nimbutala,12.49458,92.95422,30-04-03,1.2
Andaman & Nicobar Islands North And Middle Andaman Rangat Nimbutala,12.49458,92.95422,30-04-01,2.8
Andaman & Nicobar Islands North And Middle Andaman Rangat Nimbutala,12.49458,92.95422,30-04-00,1.4
Andaman & Nicobar Islands North And Middle Andaman Rangat Padmanavapuram,12.60627,92.94925,30-04-03,3.6
Andaman & Nicobar Islands North And Middle Andaman Rangat Padmanavapuram,12.60627,92.94925,30-04-01,4.3
Andaman & Nicobar Islands North And Middle Andaman Rangat Padmanavapuram,12.60627,92.94925,30-04-00,4.1
Andaman & Nicobar Islands North And Middle Andaman Rangat Rangat,12.50574,92.91081,30-04-03,1.7
Andaman & Nicobar Islands North And Middle Andaman Rangat Rangat,12.50574,92.91081,30-04-01,3.0
Andaman & Nicobar Islands North And Middle Andaman Rangat Rangat,12.50574,92.91081,30-04-00,1.0
Andaman & Nicobar Islands South Andamans Ferrargunj Burmanala,11.55795,92.72936,30-04-03,2.9
Andaman & Nicobar Islands South Andamans Ferrargunj Burmanala,11.55795,92.72936,30-04-02,2.9
Andaman & Nicobar Islands South Andamans Ferrargunj Burmanala,11.55795,92.72936,30-04-01,2.6
Andaman & Nicobar Islands South Andamans Ferrargunj Burmanala,11.55795,92.72936,30-04-00,1.9
Andaman & Nicobar Islands South Andamans Ferrargunj Garacharma,11.61367,92.70953,30-04-03,0.9
Andaman & Nicobar Islands South Andamans Ferrargunj Garacharma,11.61367,92.70953,30-04-02,0.9
Andaman & Nicobar Islands South Andamans Ferrargunj Garacharma,11.61367,92.70953,30-04-01,0.9
Andaman & Nicobar Islands South Andamans Ferrargunj Garacharma,11.61367,92.70953,30-04-00,0.9
Andaman & Nicobar Islands South Andamans Ferrargunj Gupta Para,11.55985,92.65871,30-04-03,3.9
Andaman & Nicobar Islands South Andamans Ferrargunj Gupta Para,11.55985,92.65871,30-04-01,1.9
Andaman & Nicobar Islands South Andamans Ferrargunj Gupta Para,11.55985,92.65871,30-04-00,1.7
